22.000000,	0.002207
23.000000,	0.002756
24.000000,	0.003305
25.000000,	0.003853
26.000000,	0.004394
27.000000,	0.004977
28.000000,	0.005590
29.000000,	0.006199
30.000000,	0.006839
31.000000,	0.007387
32.000000,	0.007928
33.000000,	0.008465
34.000000,	0.008993
35.000000,	0.009519
36.000000,	0.010037
37.000000,	0.010632
38.000000,	0.011254
39.000000,	0.011869
40.000000,	0.012481
41.000000,	0.013086
42.000000,	0.013685
43.000000,	0.014280
44.000000,	0.014865
45.000000,	0.015436
46.000000,	0.016002
47.000000,	0.016566
48.000000,	0.017124
49.000000,	0.017677
50.000000,	0.018225
51.000000,	0.018770
52.000000,	0.019600
53.000000,	0.020869
54.000000,	0.022129
55.000000,	0.022791
56.000000,	0.023267
57.000000,	0.023742
58.000000,	0.024208
59.000000,	0.024676
60.000000,	0.025140
61.000000,	0.025602
62.000000,	0.026058
63.000000,	0.026513
64.000000,	0.026966
65.000000,	0.027415
66.000000,	0.027861
67.000000,	0.028304
68.000000,	0.028745
69.000000,	0.029182
70.000000,	0.029636
71.000000,	0.030141
72.000000,	0.030641
73.000000,	0.031139
74.000000,	0.031633
75.000000,	0.032126
76.000000,	0.032616
77.000000,	0.033101
78.000000,	0.033587
79.000000,	0.034068
80.000000,	0.034547
81.000000,	0.035023
82.000000,	0.035496
83.000000,	0.035969
84.000000,	0.036437
85.000000,	0.036904
86.000000,	0.037367
87.000000,	0.037827
88.000000,	0.038288
89.000000,	0.038746
90.000000,	0.039200
91.000000,	0.039652
92.000000,	0.040104
93.000000,	0.040553
94.000000,	0.040997
95.000000,	0.041441
96.000000,	0.041942
97.000000,	0.042470
98.000000,	0.042996
99.000000,	0.043515
100.000000,	0.044038
101.000000,	0.044554
102.000000,	0.045071
103.000000,	0.045585
104.000000,	0.046095
105.000000,	0.046603
106.000000,	0.047112
107.000000,	0.047614
108.000000,	0.048118
109.000000,	0.048618
110.000000,	0.049118
111.000000,	0.049615
112.000000,	0.050107
113.000000,	0.050599
114.000000,	0.051089
115.000000,	0.051578
116.000000,	0.052067
117.000000,	0.052550
118.000000,	0.053036
119.000000,	0.053514
120.000000,	0.053993
121.000000,	0.054468
122.000000,	0.054944
123.000000,	0.055420
124.000000,	0.055892
125.000000,	0.056390
126.000000,	0.056902
127.000000,	0.057412
128.000000,	0.057923
129.000000,	0.058433
130.000000,	0.058937
131.000000,	0.059439
132.000000,	0.059947
133.000000,	0.060446
134.000000,	0.060944
135.000000,	0.061443
136.000000,	0.061937
137.000000,	0.062433
138.000000,	0.062923
139.000000,	0.063414
140.000000,	0.063904
141.000000,	0.064390
142.000000,	0.064877
143.000000,	0.065359
144.000000,	0.065842
145.000000,	0.066324
146.000000,	0.066803
147.000000,	0.067281
148.000000,	0.067757
149.000000,	0.068231
150.000000,	0.068706
151.000000,	0.069178
152.000000,	0.069650
153.000000,	0.070114
154.000000,	0.070584
155.000000,	0.071051
156.000000,	0.071515
157.000000,	0.071977
158.000000,	0.072482
159.000000,	0.072984
160.000000,	0.073488
161.000000,	0.073985
162.000000,	0.074486
163.000000,	0.074983
164.000000,	0.075482
165.000000,	0.075976
166.000000,	0.076469
167.000000,	0.076962
168.000000,	0.077451
169.000000,	0.077943
170.000000,	0.078430
171.000000,	0.078915
172.000000,	0.079399
173.000000,	0.079881
174.000000,	0.080362
175.000000,	0.080844
176.000000,	0.081326
177.000000,	0.081801
178.000000,	0.082279
179.000000,	0.082755
180.000000,	0.083232
181.000000,	0.083703
182.000000,	0.084177
183.000000,	0.084650
184.000000,	0.085117
185.000000,	0.085584
186.000000,	0.086052
187.000000,	0.086519
188.000000,	0.086980
189.000000,	0.087447
190.000000,	0.087907
191.000000,	0.088370
192.000000,	0.088827
193.000000,	0.089287
194.000000,	0.089868
195.000000,	0.090487
196.000000,	0.091103
197.000000,	0.091720
198.000000,	0.092331
199.000000,	0.092943
200.000000,	0.093555
201.000000,	0.094168
202.000000,	0.094776
203.000000,	0.095381
204.000000,	0.095987
205.000000,	0.096590
206.000000,	0.097190
207.000000,	0.097794
208.000000,	0.098391
209.000000,	0.098990
210.000000,	0.099587
211.000000,	0.100182
212.000000,	0.100775
213.000000,	0.101370
214.000000,	0.101959
215.000000,	0.102549
216.000000,	0.103138
217.000000,	0.103727
218.000000,	0.104308
219.000000,	0.104694
