ANGOLO [gradi]	1 FRANGE [#]	2 FRANGE [#]
2.2,		0,		0
3.2,		1,		1
4.2,		4,		4.5
5.2,		10,		9.5
6.2,		17.5,		17.5
7.2,		28,		29
8.2,		40,		41
9.2,		64.5,		65
10.2,		80.5,		80.5
11.2,		100,		101.5
12.2,		120.5,		121.5
13.2,		143.5,		147
14.2,		169,		179
15.2,		197,		211
16.2,		230,		243
17.2,		264,		276.5
18.2,		306,		313.5
19.2,		340,		352
