160 um [mm],    80 um [mm],     80 um bis [mm],         40 um [mm],     20 um [mm]
12.65,          25.30,          24.30,                  48.40,          103.30
25.50,          49.50,          49.00,                  97.10,          209.80
37.75,          74.10,          73.35,                  146.75,         313.00
50.10,          98.80,          99.00,                  195.00,
62.55,          123.60,         124.55,                 246.05,
74.85,          148.50,         148.25,
88.25,          
100.15,
113.10,
125.70,
