1,	6
2,	8
4,	14
6,	21
8,	28
10,	34
12,	39
14,	46
16,	52
18,	58
20,	64
22,	70
24,	74
26,	81
28,	86
30,	92
32,	97
34,	103
36,	109
38,	114
40,	120
42,	125
44,	131
46,	135
48,	141
50,	147
55,	161
60,	171
65,	185
70,	196
75,	208
80,	219
85,	229
90,	240
95,	250
100,	260
110,	280
120,	300
130,	316
140,	332
150,	348
160,	363
170,	377
180,	391
190,	403
200,	416
210,	428
220,	440
230,	446
240,	459
250,	469
260,	478
270,	486
280,	494
290,	502
300,	510
320,	524
340,	536
360,	547
380,	557
400,	565
420,	573
440,	581
460,	588
480,	594
500,	600
580,	608
600,	612
620,	617
640,	621
660,	625
680,	628
700,	631
720,	633
740,	636
760,	639
780,	641
800,	643
850,	647
900,	649
950,	649
